,Fold 1,Fold 2,Fold 3,Fold 4
curve_a3,-0.382,-0.048,-0.144,0.047
curve_a2,0.342,-0.003,0.05,-0.076
curve_a1,-0.047,0.238,0.206,0.178
curve_a0,-0.564,-0.302,0.326,0.433
vix_level,-0.1,0.044,-0.063,-0.002
vix3m_level,0.02,0.158,-0.095,0.063
vix_spread,0.421,0.232,-0.072,0.245
vix_change_20d,0.225,0.126,-0.138,-0.201
iv_level,-0.1,0.044,-0.063,-0.002
rv_level,-0.036,0.242,0.204,0.026
iv_rv_spread,-0.104,-0.314,-0.405,-0.038
spy_ret_20d,0.608,0.454,-0.585,-0.631
sector_rs,0.284,0.711,1.094,0.698
sector_ret_5d,-0.118,0.381,-0.244,-0.066
